frame,time_s,face_detected,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
50,1.67,1,0.0,0.0383,0.0229,0.1425,0.0239,0.0315,0.0,0.0,0.0,0.0851,0.0157,0.0535,0.0354,0.014,0.197,0.2037,0.0191,0.175,0.2023,0.2176,0.3285,0.0074,0.0296,0.0001,0.0023,0.0055,0.0,0.0018,0.0381,0.0045,0.0,0.0,0.0114,0.0415,0.0002,0.0002,0.0163,0.0051,0.3955,0.0003,0.0032,0.0153,0.0014,0.0046,0.0002,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0
55,1.83,1,0.0,0.0739,0.0268,0.074,0.0132,0.0328,0.0,0.0,0.0,0.1059,0.0167,0.0567,0.0332,0.0121,0.2338,0.2338,0.0133,0.1692,0.1851,0.2131,0.3843,0.0047,0.0212,0.0001,0.0012,0.0032,0.0,0.0011,0.044,0.0065,0.0,0.0,0.0035,0.031,0.0002,0.0002,0.0583,0.0224,0.0312,0.0001,0.0024,0.0052,0.0022,0.0071,0.0035,0.0025,0.0008,0.0005,0.0002,0.0001,0.0,0.0
60,2.0,1,0.0,0.1417,0.0327,0.0466,0.0034,0.0234,0.0,0.0,0.0,0.0948,0.0171,0.0755,0.0469,0.0142,0.2093,0.208,0.0172,0.1347,0.1541,0.1909,0.3029,0.0051,0.022,0.0001,0.0006,0.0017,0.0,0.0007,0.0836,0.0302,0.0,0.0,0.0005,0.0289,0.0001,0.0001,0.1519,0.1496,0.0033,0.0001,0.0051,0.0059,0.0142,0.007,0.0918,0.0953,0.0029,0.0024,0.0001,0.0003,0.0,0.0
65,2.17,1,0.0,0.1106,0.0462,0.0387,0.0078,0.023,0.0,0.0,0.0,0.1219,0.0207,0.1574,0.1153,0.0124,0.2448,0.2295,0.0138,0.0546,0.0685,0.1894,0.2315,0.0042,0.0207,0.0,0.0007,0.0015,0.0,0.0004,0.0429,0.02,0.0002,0.0002,0.0003,0.0133,0.0001,0.0,0.2178,0.157,0.0014,0.0001,0.0067,0.0029,0.095,0.0465,0.0488,0.0392,0.0053,0.0023,0.0013,0.0018,0.0,0.0
70,2.33,1,0.0,0.074,0.0139,0.0755,0.016,0.0628,0.0,0.0,0.0,0.7398,0.4607,0.7544,0.7879,0.0386,0.1872,0.1942,0.0151,0.0029,0.0054,0.3918,0.6043,0.0005,0.0005,0.0001,0.0022,0.017,0.0003,0.0031,0.0305,0.0174,0.0,0.0,0.0657,0.0125,0.001,0.001,0.0044,0.0066,0.7483,0.0016,0.0067,0.0629,0.0014,0.0099,0.0,0.0001,0.0,0.0001,0.0005,0.0006,0.0,0.0
75,2.5,1,0.0,0.0384,0.0222,0.0924,0.0197,0.0409,0.0,0.0,0.0,0.2853,0.1588,0.3686,0.3463,0.0081,0.3296,0.3224,0.0114,0.0235,0.0235,0.3123,0.3841,0.0033,0.0027,0.0001,0.0008,0.0054,0.0001,0.0014,0.0898,0.0119,0.0,0.0,0.009,0.0614,0.0003,0.0002,0.0387,0.02,0.1022,0.0001,0.0035,0.0241,0.002,0.0093,0.0011,0.001,0.0001,0.0002,0.0007,0.0006,0.0,0.0
80,2.67,1,0.0,0.0236,0.0097,0.1464,0.0467,0.0592,0.0,0.0,0.0,0.12,0.0422,0.2504,0.2037,0.0071,0.3395,0.3056,0.0101,0.0314,0.038,0.1668,0.2928,0.0054,0.0123,0.0001,0.0003,0.0017,0.0,0.0002,0.0478,0.0313,0.0001,0.0001,0.0013,0.0031,0.0002,0.0002,0.2524,0.0796,0.0029,0.0009,0.0051,0.0041,0.082,0.1603,0.0188,0.0103,0.0022,0.0003,0.0147,0.0162,0.0,0.0
85,2.83,1,0.0,0.0469,0.0217,0.079,0.0267,0.0413,0.0001,0.0,0.0,0.0636,0.0223,0.1132,0.0801,0.0148,0.2135,0.2073,0.0146,0.0858,0.1024,0.219,0.353,0.0087,0.0222,0.0003,0.0006,0.01,0.0001,0.0005,0.0166,0.018,0.0001,0.0001,0.004,0.0054,0.0056,0.0054,0.0939,0.1289,0.0023,0.0001,0.0124,0.0266,0.0098,0.0542,0.5337,0.495,0.0048,0.0045,0.0676,0.1075,0.0,0.0
90,3.0,1,0.0,0.0465,0.0201,0.1095,0.0165,0.0288,0.0003,0.0,0.0,0.0478,0.0208,0.0718,0.0532,0.0264,0.161,0.1606,0.0155,0.1398,0.1538,0.3025,0.3766,0.0128,0.0238,0.0007,0.0007,0.0639,0.0004,0.0034,0.0116,0.0163,0.0001,0.0001,0.0185,0.0018,0.0501,0.0578,0.0538,0.0739,0.0062,0.0003,0.0142,0.0461,0.0026,0.0255,0.5076,0.4945,0.0028,0.0028,0.1845,0.281,0.0,0.0
95,3.17,1,0.0,0.0635,0.0308,0.0578,0.0158,0.0282,0.0001,0.0,0.0,0.059,0.0159,0.0747,0.0475,0.0158,0.1884,0.1893,0.0165,0.1328,0.1509,0.2237,0.2998,0.0092,0.0258,0.0003,0.0006,0.0076,0.0001,0.0006,0.0688,0.0848,0.0,0.0,0.0171,0.001,0.0061,0.0065,0.1337,0.0695,0.0093,0.0024,0.0024,0.0113,0.0035,0.0634,0.1748,0.1148,0.001,0.0003,0.156,0.1924,0.0,0.0
